asset,direction,entry_date,exit_date,entry_price,exit_price,position_size,stop_loss,take_profit,pnl,timeframe,notes,followed_plan
BTCUSD,long,2026-01-02,2026-01-02,42150,42580,0.5,41800,43000,215,4h,Breakout above resistance,yes
ETHUSD,long,2026-01-02,2026-01-03,2280,2195,2,2200,2400,-170,1h,Failed support bounce,yes
EURUSD,short,2026-01-03,2026-01-03,1.0892,1.0845,50000,1.0920,1.0820,235,15m,News driven move,yes
BTCUSD,short,2026-01-04,2026-01-04,43200,43850,0.3,43500,42600,-195,4h,Counter trend mistake,no
SOLUSD,long,2026-01-05,2026-01-06,98.50,105.20,15,95.00,110.00,100.50,1h,Momentum play,yes
GBPUSD,long,2026-01-06,2026-01-06,1.2520,1.2580,30000,1.2480,1.2620,180,1h,Clean breakout,yes
ETHUSD,short,2026-01-07,2026-01-07,2150,2090,3,2200,2050,180,4h,Rejection at resistance,yes
BTCUSD,long,2026-01-07,2026-01-08,41800,42400,0.4,41200,43000,240,1d,Daily support hold,yes
XAUUSD,long,2026-01-08,2026-01-08,2045,2038,5,2035,2065,-35,15m,Stopped out early,yes
SOLUSD,short,2026-01-09,2026-01-09,102.30,99.80,20,105.00,97.00,50,1h,Bearish divergence,yes
BTCUSD,long,2026-01-09,2026-01-10,42600,41900,0.5,42000,44000,-350,4h,Breakdown surprise,no
EURUSD,long,2026-01-10,2026-01-10,1.0780,1.0825,40000,1.0750,1.0850,180,1h,Reversal setup,yes
ETHUSD,long,2026-01-11,2026-01-11,2050,2120,4,2000,2150,280,4h,Oversold bounce,yes
AVAXUSD,long,2026-01-11,2026-01-12,35.20,37.80,50,33.50,40.00,130,1h,Alt season play,yes
BTCUSD,short,2026-01-12,2026-01-12,43500,43200,0.6,44000,42500,180,1h,Double top pattern,yes
GBPUSD,short,2026-01-13,2026-01-13,1.2680,1.2720,25000,1.2720,1.2600,-100,15m,False breakdown,no
LINKUSD,long,2026-01-13,2026-01-14,14.50,15.80,100,13.80,16.50,130,4h,Accumulation breakout,yes
BTCUSD,long,2026-01-14,2026-01-14,42800,43350,0.4,42200,44000,220,1h,Higher low formation,yes
ETHUSD,short,2026-01-15,2026-01-15,2180,2220,2.5,2230,2100,-100,1h,Wrong direction call,no
SOLUSD,long,2026-01-15,2026-01-16,95.40,99.20,25,92.00,102.00,95,4h,Support bounce,yes
XAUUSD,short,2026-01-16,2026-01-16,2058,2048,8,2068,2038,80,1h,Resistance rejection,yes
BTCUSD,long,2026-01-16,2026-01-17,43100,44200,0.5,42500,45000,550,4h,Trend continuation,yes
EURUSD,short,2026-01-17,2026-01-17,1.0920,1.0880,60000,1.0950,1.0850,240,1h,ECB speech reaction,yes
DOGEUSD,long,2026-01-17,2026-01-18,0.0820,0.0795,10000,0.0780,0.0880,-250,1h,Meme pump fade,no
BTCUSD,short,2026-01-18,2026-01-18,44500,44100,0.3,45000,43500,120,15m,Scalp trade,yes
ETHUSD,long,2026-01-18,2026-01-19,2240,2320,3,2180,2380,240,4h,ETH/BTC ratio play,yes
MATICUSD,long,2026-01-19,2026-01-19,0.92,0.88,500,0.85,1.00,-200,1h,Layer 2 narrative,yes
BTCUSD,long,2026-01-19,2026-01-20,44800,45600,0.4,44200,46500,320,4h,Weekend breakout,yes
GBPUSD,long,2026-01-20,2026-01-20,1.2750,1.2810,35000,1.2700,1.2850,210,1h,Clean setup,yes
SOLUSD,short,2026-01-20,2026-01-21,108.50,105.20,20,112.00,100.00,66,4h,Overbought condition,yes
BTCUSD,short,2026-01-21,2026-01-21,45800,46200,0.25,46500,44500,-100,1h,Caught in squeeze,no
ETHUSD,long,2026-01-21,2026-01-22,2380,2450,2,2320,2500,140,4h,Bullish continuation,yes
XAUUSD,long,2026-01-22,2026-01-22,2072,2085,6,2060,2095,78,1h,Risk off move,yes
BTCUSD,long,2026-01-22,2026-01-23,45200,46100,0.5,44500,47000,450,4h,Institutional buying,yes
AVAXUSD,short,2026-01-22,2026-01-23,42.50,44.20,30,45.00,38.00,-51,1h,Misjudged momentum,no
EURUSD,long,2026-01-23,2026-01-23,1.0850,1.0890,50000,1.0820,1.0920,200,15m,NFP reaction,yes
BTCUSD,long,2026-01-23,2026-01-24,46500,47200,0.6,45800,48000,420,4h,ATH attempt,yes
ETHUSD,short,2026-01-24,2026-01-24,2520,2480,2,2580,2420,80,1h,Profit taking setup,yes
SOLUSD,long,2026-01-24,2026-01-24,112.80,115.40,15,109.00,120.00,39,1h,Alt momentum,yes
BTCUSD,long,2026-01-24,,47500,,0.4,46500,49000,,4h,Open position,yes
